*** Создаем сервис ***
### conv2_relu ###
*** Готово! ***
*** Начинаем обучение ***
### end ###
*** Создаем сервис ***
### conv3_relu ###
*** Готово! ***
*** Начинаем обучение сети ***
{u'f1': 0.7411764697287198, u'train_loss': 0.29541459679603577, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1642.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.2849656343460083, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1657.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.4935608208179474, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1672.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.2543829381465912, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1687.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.21405774354934692, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1702.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.6229144930839539, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1717.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.3033529818058014, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1732.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.11055874824523926, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1747.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.11596553772687912, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1762.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.23571820557117462, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1777.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.3654715418815613, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1792.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.2189648300409317, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1807.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.15630480647087097, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1822.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.32993215322494507, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1838.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.19061733782291412, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1853.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.058022305369377136, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1868.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.1914626955986023, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1883.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.589018702507019, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1898.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
{u'f1': 0.7411764697287198, u'train_loss': 0.08185324817895889, u'mcll': 0.48088355588247855, u'recall': 0.7411764697287198, u'iteration': 1914.0, u'precision': 0.7411764697287198, u'accp': 0.8181818181818182}
